logFC	logCPM	LR	PValue	FDR	geneId
5.11114339864154	4.07931596924079	338.83353668454	1.145267198102e-75	2.11049839266236e-71	AT1G74890
2.62111515910828	5.51540934610637	335.220169102448	7.0121973751968e-75	6.46103866150633e-71	AT5G62920
2.80916685398501	7.17287989829076	278.285440796092	1.77513882284092e-62	1.09040860757708e-58	AT1G19050
3.76656534857578	4.7982924421674	268.880939108948	1.98978218452935e-60	9.1669265241267e-57	AT3G48100
2.25723167441241	5.02100593288673	236.260805090169	2.57065093585326e-53	9.47439108918079e-50	AT5G05860
2.20932091820418	7.20388792743847	186.821496046778	1.57094105141606e-42	4.82488361591587e-39	AT1G10470
2.92106030346921	2.04142280385357	154.86929858005	1.49539569354991e-35	3.93673597724824e-32	AT1G16530
2.7114546501192	2.71519967108238	139.904577541934	2.79306137159615e-32	6.43381686947174e-29	AT2G40670
2.04354638073856	3.51440873593998	138.881838640764	4.67451504647997e-32	9.5713292529481e-29	AT1G78120
1.39264635639461	5.45680004873914	128.953639686831	6.94210662063841e-30	1.27929140805125e-26	AT2G36870
1.60479888925966	5.03254082768188	125.070909809437	4.9108124595941e-29	8.22695018230909e-26	AT4G27970
2.21927247727906	3.758098632582	123.888687471895	8.91045986182353e-29	1.36834961944737e-25	AT1G75450
3.8255958720823	1.56735691751789	115.085537709809	7.53750642973009e-27	1.06847052682358e-23	AT1G19040
2.12852119627029	3.7461530296019	104.481908498867	1.58635274242428e-24	2.08809345267105e-21	AT2G41310
2.33320835440913	3.99784621280678	97.4555071622357	5.5080129886798e-23	6.76677755702609e-20	AT5G19260
2.45351013325204	1.68093287944044	95.632710504572	1.38302278035873e-22	1.59289648727817e-19	AT1G68360
1.27911938355843	4.19788053165415	94.4888573146604	2.46475946707701e-22	2.67179926231148e-19	AT1G75440
2.01066939481203	4.87350995817791	90.8287426718035	1.56661054382003e-21	1.60386106119531e-18	AT3G57040
1.94074397659764	3.04938335662118	88.2373044300718	5.80546584670982e-21	5.63069076964045e-18	AT3G29670
1.47371887522824	4.73172902337361	87.7518792535887	7.42023941455273e-21	6.83700859656889e-18	AT5G06570
2.07353197877022	5.91115996767553	87.5203878093909	8.34155162926344e-21	7.3199101630508e-18	AT4G29740
1.07783336258231	4.86728809160336	83.348129577647	6.8803875859896e-20	5.55945151676592e-17	AT1G13740
1.49949030601741	3.5087960565976	83.3314305302777	6.93875542031778e-20	5.55945151676592e-17	AT1G58170
1.39403440926664	4.33760051624173	81.5411700792742	1.71648338534159e-19	1.31797315937812e-16	AT1G12420
1.34009796135614	4.92077433457362	80.0807357163772	3.59419573048466e-19	2.64935355685485e-16	AT3G50700
