logFC	logCPM	LR	PValue	FDR	geneId
-1.035852592	5.007464169	86.36608182	1.50E-20	3.49E-18	AT1G07260
-1.866948177	3.103315257	85.47552276	2.35E-20	5.40E-18	AT2G28690
1.711267579	3.008825254	85.40013119	2.44E-20	5.55E-18	AT2G37450
-1.084542879	6.772668475	84.92398597	3.10E-20	6.93E-18	AT3G23030
1.172116191	5.193769344	84.91373281	3.12E-20	6.93E-18	AT5G47950
-1.060271406	4.382137895	80.81858184	2.47E-19	5.44E-17	AT3G23150
1.473537153	2.952016263	80.00789656	3.73E-19	8.10E-17	AT2G22790
2.3632052	5.616315553	79.95721103	3.83E-19	8.22E-17	AT4G25410
-1.722090489	3.474165511	79.48434379	4.86E-19	1.03E-16	AT4G13620
1.43223288	3.755693421	79.33315745	5.25E-19	1.10E-16	AT4G22620
1.096570572	4.818906032	79.17443331	5.69E-19	1.18E-16	AT3G25597
1.464683395	4.503934201	79.0683295	6.00E-19	1.23E-16	AT2G19060
1.216494614	8.574932907	78.63495643	7.47E-19	1.52E-16	AT2G17500
1.222172916	5.872324719	77.5351346	1.30E-18	2.62E-16	AT3G21710
1.155266083	4.586135529	75.99403821	2.85E-18	5.67E-16	AT1G64890
1.212129418	3.91559732	74.84559173	5.09E-18	1.00E-15	AT4G19680
1.378259652	3.230530575	74.54635793	5.92E-18	1.16E-15	AT3G24310
1.195356327	3.743410241	73.77187568	8.77E-18	1.69E-15	AT5G10970
1.5368405	3.072760728	73.58496478	9.64E-18	1.84E-15	AT5G11160
-2.017417296	1.569812604	73.3752197	1.07E-17	2.03E-15	AT5G38940
0.941780767	5.769740833	73.32394137	1.10E-17	2.06E-15	AT1G13300
0.950925541	5.916394104	73.09218827	1.24E-17	2.30E-15	AT1G77740
-1.33435071	4.314911486	72.42325333	1.74E-17	3.19E-15	AT1G49570
1.222059709	3.803231118	72.35911626	1.79E-17	3.27E-15	AT3G47820
1.024781588	6.695232194	72.04599843	2.10E-17	3.79E-15	AT2G20960
0.998164279	5.091471217	71.91128606	2.25E-17	4.02E-15	AT1G67030
-1.80036965	2.705966479	70.79675355	3.96E-17	7.01E-15	AT5G49620
-1.207350417	4.937222522	70.53637716	4.52E-17	7.92E-15	AT3G02170
1.624020418	5.082807164	70.51543249	4.57E-17	7.94E-15	AT5G65140
-0.92825768	5.364113598	69.95197862	6.08E-17	1.05E-14	AT2G43340
1.122437215	3.692087207	69.77092929	6.66E-17	1.14E-14	AT5G03890
2.887433257	1.059169872	69.18255493	8.98E-17	1.52E-14	AT4G25420
1.299693529	5.889283122	68.93863584	1.02E-16	1.70E-14	AT1G49500
2.779765028	1.961050022	68.82267174	1.08E-16	1.79E-14	AT2G30540
1.00961205	6.017956972	68.63272602	1.19E-16	1.95E-14	AT2G29490
1.873602845	2.039546054	67.88750915	1.73E-16	2.83E-14	AT4G24890
2.885959174	1.168069715	67.78860773	1.82E-16	2.95E-14	AT5G10990
1.748499197	1.844628754	67.63578137	1.97E-16	3.16E-14	AT5G57180
0.917799002	4.857257491	66.93836399	2.80E-16	4.43E-14	AT1G67900
1.328877098	3.248579773	66.93540827	2.81E-16	4.43E-14	AT1G10460
1.170703393	6.947450065	66.18239144	4.11E-16	6.44E-14	AT2G22770
1.230270266	4.452602129	65.97258671	4.57E-16	7.11E-14	AT1G30040
0.899900641	5.289655286	65.30868213	6.40E-16	9.87E-14	AT2G01930
1.279164891	3.992685208	65.22535939	6.68E-16	1.02E-13	AT5G19260
